DISPLAYORDER,TYPECODE,DESCRIPTION,HOC,SESSIONID,TIMESTAMP,VERSION
'1','AK','Alaska','0.10','0',sysdate,'0'
'2','AL','Alabama','0.15','0',sysdate,'0'
'3','AR','Arkansas','0.20','0',sysdate,'0'
'4','AZ','Arizona','0.10','0',sysdate,'0'
'5','CA','California','0.10','0',sysdate,'0'
'6','CO','Colorado','0.10','0',sysdate,'0'
'7','CT','Connecticut','0.15','0',sysdate,'0'
'8','DC','District of Columbia','0.15','0',sysdate,'0'
'9','DE','Delaware','0.15','0',sysdate,'0'
'10','FL','Florida','0.15','0',sysdate,'0'
'11','GA','Georgia','0.15','0',sysdate,'0'
'12','HI','Hawaii','0.10','0',sysdate,'0'
'13','IA','Iowa','0.10','0',sysdate,'0'
'14','ID','Idaho','0.10','0',sysdate,'0'
'15','IL','Illinois','0.15','0',sysdate,'0'
'16','IN','Indiana','0.15','0',sysdate,'0'
'17','KS','Kansas','0.15','0',sysdate,'0'
'18','KY','Kentucky','0.15','0',sysdate,'0'
'19','LA','Louisiana','0.15','0',sysdate,'0'
'20','MA','Massachusetts','0.15','0',sysdate,'0'
'21','MD','Maryland','0.15','0',sysdate,'0'
'22','ME','Maine','0.15','0',sysdate,'0'
'23','MI','Michigan','0.15','0',sysdate,'0'
'24','MN','Minnesota','0.10','0',sysdate,'0'
'25','MO','Missouri','0.15','0',sysdate,'0'
'26','MS','Mississippi','0.15','0',sysdate,'0'
'27','MT','Montana','0.10','0',sysdate,'0'
'28','NC','North Carolina','0.15','0',sysdate,'0'
'29','ND','North Dakota','0.15','0',sysdate,'0'
'30','NE','Nebraska','0.15','0',sysdate,'0'
'31','NH','New Hampshire','0.15','0',sysdate,'0'
'32','NJ','New Jersey','0.15','0',sysdate,'0'
'33','NM','New Mexico','0.15','0',sysdate,'0'
'34','NV','Nevada','0.10','0',sysdate,'0'
'35','NY','New York','0.15','0',sysdate,'0'
'36','OH','Ohio','0.15','0',sysdate,'0'
'37','OK','Oklahoma','0.20','0',sysdate,'0'
'38','OR','Oregon','0.10','0',sysdate,'0'
'39','PA','Pennsylvania','0.15','0',sysdate,'0'
'40','RI','Rhode Island','0.15','0',sysdate,'0'
'41','SC','South Carolina','0.15','0',sysdate,'0'
'42','SD','South Dakota','0.15','0',sysdate,'0'
'43','TN','Tennessee','0.15','0',sysdate,'0'
'44','TX','Texas','0.15','0',sysdate,'0'
'45','UT','Utah','0.20','0',sysdate,'0'
'46','VA','Virginia','0.15','0',sysdate,'0'
'47','VI','Virgin Islands','0.15','0',sysdate,'0'
'48','VT','Vermont','0.15','0',sysdate,'0'
'49','WA','Washington','0.10','0',sysdate,'0'
'50','WI','Wisconsin','0.10','0',sysdate,'0'
'51','WV','West Virginia','0.15','0',sysdate,'0'
'52','WY','Wyoming','0.15','0',sysdate,'0'
